date,AFKS,AFLT,AGRO,AKRN,ALRS,ASTR,BANE,BANEP,BSPB,CBOM,CHMF,DIXY,DSKY,ENPG,EONR,EPLN,FEES,FIVE,FIXP,FLOT,GAZP,GCHE,GLTR,GMKN,HEAD,HHRU,HYDR,IRAO,KMAZ,LEAS,LKOH,LNTA,LSRG,MAGN,MAIL,MDMG,MFON,MGNT,MOEX,MRKH,MSNG,MSRS,MSTT,MTLR,MTLRP,MTSI,MTSS,MVID,NKNC,NLMK,NMTP,NOTK,NVTK,OGKB,OGKC,OGKE,OZON,PGIL,PHOR,PHST,PIKK,PLZL,PMTL,POGR,POLY,POSI,QIWI,RASP,RENI,RNFT,ROSN,RSTI,RTKM,RTKMP,RUAL,RUALR,SBER,SBERP,SELG,SFIN,SGZH,SIBN,SMLT,SNGS,SNGSP,SVAV,SVCB,T,TATN,TATNP,TCSG,TRMK,TRNFP,UGLD,UPRO,URKA,URSI,UWGN,VKCO,VSMO,VTBR,VTEL,VZRZ,YDEX,YNDX
2010-01-11,0.0,54.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.5,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,194.5,0.0,0.0,4695.4,0.0,0.0,1.188,0.0,0.0,0.0,1750.98,0.0,0.0,27.94,0.0,0.0,0.0,0.0,0.0,0.0,3.379,0.0,0.0,0.0,0.0,228.9,0.0,0.0,0.0,98.27,0.0,177.5,0.0,0.0,1.49,2.298,0.0,0.0,0.0,0.0,0.0,1634.04,293.57,0.0,0.0,0.0,0.0,156.0,0.0,0.0,271.7,0.0,145.97,0.0,0.0,0.0,86.69,71.94,0.0,0.0,0.0,170.68,0.0,28.289,15.407,0.0,0.0,0.0,144.2,0.0,0.0,0.0,24490.0,0.0,0.0,143.4,0.802,0.0,0.0,0.0,0.0726,90.31,0.0,0.0,0.0
2010-01-12,0.0,54.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.42,0.0,0.0,0.0,0.0,0.0,0.338,0.0,0.0,0.0,191.8,0.0,0.0,4640.06,0.0,0.0,1.187,0.0,0.0,0.0,1719.82,0.0,0.0,27.24,0.0,0.0,0.0,0.0,0.0,0.0,3.389,0.0,0.0,0.0,0.0,226.7,0.0,0.0,0.0,98.65,0.0,174.9,0.0,0.0,1.487,2.3,0.0,0.0,0.0,0.0,0.0,1629.98,294.5,0.0,0.0,0.0,0.0,158.96,0.0,0.0,266.52,0.0,144.76,0.0,0.0,0.0,85.0,72.43,0.0,0.0,0.0,169.6,0.0,27.563,15.4,0.0,0.0,0.0,142.76,0.0,0.0,0.0,24300.0,0.0,0.0,143.8,0.79,0.0,0.0,0.0,0.0727,90.09,0.0,0.0,0.0
2010-01-13,0.0,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.3,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,189.3,0.0,0.0,4654.14,0.0,0.0,1.236,0.0,0.0,0.0,1709.44,0.0,0.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,3.443,0.0,0.0,0.0,0.0,225.6,0.0,0.0,0.0,100.57,0.0,177.0,0.0,0.0,1.498,2.35,0.0,0.0,0.0,0.0,0.0,1602.02,296.05,0.0,0.0,0.0,0.0,165.12,0.0,0.0,267.54,0.0,144.4,0.0,0.0,0.0,86.61,73.13,0.0,0.0,0.0,166.75,0.0,27.739,15.497,0.0,0.0,0.0,144.5,0.0,0.0,0.0,24500.0,0.0,0.0,142.26,0.795,0.0,0.0,0.0,0.0744,89.3,0.0,0.0,0.0
2010-01-14,0.0,54.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.346,0.0,0.0,0.0,190.83,0.0,0.0,4892.94,0.0,0.0,1.267,0.0,0.0,0.0,1726.8,0.0,0.0,30.2,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,226.79,0.0,0.0,0.0,103.88,0.0,180.9,0.0,0.0,1.499,2.414,0.0,0.0,0.0,0.0,0.0,1605.99,296.0,0.0,0.0,0.0,0.0,175.62,0.0,0.0,268.0,0.0,154.7,0.0,0.0,0.0,87.55,73.22,0.0,0.0,0.0,167.4,0.0,27.679,15.401,0.0,0.0,0.0,144.08,0.0,0.0,0.0,25181.0,0.0,0.0,143.99,0.844,0.0,0.0,0.0,0.0743,91.5,0.0,0.0,0.0
2010-01-15,0.0,54.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.96,0.0,0.0,0.0,0.0,0.0,0.342,0.0,0.0,0.0,187.86,0.0,0.0,4884.62,0.0,0.0,1.257,0.0,0.0,0.0,1731.95,0.0,0.0,29.977,0.0,0.0,0.0,0.0,0.0,0.0,3.65,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,100.5,0.0,179.2,0.0,0.0,1.509,2.45,0.0,0.0,0.0,0.0,0.0,1598.0,295.0,0.0,0.0,0.0,0.0,174.98,0.0,0.0,268.5,0.0,158.4,0.0,0.0,0.0,88.15,72.88,0.0,0.0,0.0,166.09,0.0,27.487,15.41,0.0,0.0,0.0,145.25,0.0,0.0,0.0,25900.0,0.0,0.0,142.0,0.827,0.0,0.0,0.0,0.0746,95.88,0.0,0.0,0.0
2010-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-18,0.0,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.01,0.0,0.0,0.0,0.0,0.0,0.343,0.0,0.0,0.0,190.4,0.0,0.0,5027.0,0.0,0.0,1.275,0.0,0.0,0.0,1745.0,0.0,0.0,32.08,0.0,0.0,0.0,0.0,0.0,0.0,3.794,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,99.5,0.0,183.3,0.0,0.0,1.52,2.47,0.0,0.0,0.0,0.0,0.0,1612.11,291.99,0.0,0.0,0.0,0.0,178.6,0.0,0.0,270.87,0.0,156.78,0.0,0.0,0.0,90.49,73.91,0.0,0.0,0.0,166.18,0.0,27.987,15.41,0.0,0.0,0.0,145.99,0.0,0.0,0.0,27966.99,0.0,0.0,145.9,0.852,0.0,0.0,0.0,0.075,96.19,0.0,0.0,0.0
2010-01-19,0.0,54.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.8,0.0,0.0,0.0,0.0,0.0,0.344,0.0,0.0,0.0,189.76,0.0,0.0,5040.0,0.0,0.0,1.294,0.0,0.0,0.0,1749.0,0.0,0.0,32.25,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.0,0.0,0.0,237.95,0.0,0.0,0.0,101.0,0.0,190.99,0.0,0.0,1.55,2.55,0.0,0.0,0.0,0.0,0.0,1600.85,292.03,0.0,0.0,0.0,0.0,176.77,0.0,0.0,269.73,0.0,154.01,0.0,0.0,0.0,92.02,73.55,0.0,0.0,0.0,163.3,0.0,27.85,15.19,0.0,0.0,0.0,145.0,0.0,0.0,0.0,27572.01,0.0,0.0,145.25,0.838,0.0,0.0,0.0,0.0758,94.9,0.0,0.0,0.0
2010-01-20,0.0,54.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.1,0.0,0.0,0.0,0.0,0.0,0.339,0.0,0.0,0.0,185.98,0.0,0.0,4945.0,0.0,0.0,1.29,0.0,0.0,0.0,1726.9,0.0,0.0,30.564,0.0,0.0,0.0,0.0,0.0,0.0,3.82,0.0,0.0,0.0,0.0,235.5,0.0,0.0,0.0,98.65,0.0,188.6,0.0,0.0,1.535,2.542,0.0,0.0,0.0,0.0,0.0,1592.97,289.0,0.0,0.0,0.0,0.0,176.6,0.0,0.0,264.8,0.0,150.2,0.0,0.0,0.0,90.62,72.14,0.0,0.0,0.0,162.02,0.0,27.439,15.221,0.0,0.0,0.0,144.22,0.0,0.0,0.0,26460.0,0.0,0.0,141.87,0.819,0.0,0.0,0.0,0.0747,91.22,0.0,0.0,0.0
